Patient,N_Win,Dir
h01,1,data_down\per_channel\sane\h01_w1_ch1.pt
h01,1,data_down\per_channel\sane\h01_w1_ch2.pt
h01,1,data_down\per_channel\sane\h01_w1_ch3.pt
h01,1,data_down\per_channel\sane\h01_w1_ch4.pt
h01,1,data_down\per_channel\sane\h01_w1_ch5.pt
h01,1,data_down\per_channel\sane\h01_w1_ch6.pt
h01,1,data_down\per_channel\sane\h01_w1_ch7.pt
h01,1,data_down\per_channel\sane\h01_w1_ch8.pt
h01,1,data_down\per_channel\sane\h01_w1_ch9.pt
h01,1,data_down\per_channel\sane\h01_w1_ch10.pt
h01,1,data_down\per_channel\sane\h01_w1_ch11.pt
h01,1,data_down\per_channel\sane\h01_w1_ch12.pt
h01,1,data_down\per_channel\sane\h01_w1_ch13.pt
h01,1,data_down\per_channel\sane\h01_w1_ch14.pt
h01,1,data_down\per_channel\sane\h01_w1_ch15.pt
h01,1,data_down\per_channel\sane\h01_w1_ch16.pt
h01,1,data_down\per_channel\sane\h01_w1_ch17.pt
h01,1,data_down\per_channel\sane\h01_w1_ch18.pt
h01,1,data_down\per_channel\sane\h01_w1_ch19.pt
h01,2,data_down\per_channel\sane\h01_w2_ch1.pt
h01,2,data_down\per_channel\sane\h01_w2_ch2.pt
h01,2,data_down\per_channel\sane\h01_w2_ch3.pt
h01,2,data_down\per_channel\sane\h01_w2_ch4.pt
h01,2,data_down\per_channel\sane\h01_w2_ch5.pt
h01,2,data_down\per_channel\sane\h01_w2_ch6.pt
h01,2,data_down\per_channel\sane\h01_w2_ch7.pt
h01,2,data_down\per_channel\sane\h01_w2_ch8.pt
h01,2,data_down\per_channel\sane\h01_w2_ch9.pt
h01,2,data_down\per_channel\sane\h01_w2_ch10.pt
h01,2,data_down\per_channel\sane\h01_w2_ch11.pt
h01,2,data_down\per_channel\sane\h01_w2_ch12.pt
h01,2,data_down\per_channel\sane\h01_w2_ch13.pt
h01,2,data_down\per_channel\sane\h01_w2_ch14.pt
h01,2,data_down\per_channel\sane\h01_w2_ch15.pt
h01,2,data_down\per_channel\sane\h01_w2_ch16.pt
h01,2,data_down\per_channel\sane\h01_w2_ch17.pt
h01,2,data_down\per_channel\sane\h01_w2_ch18.pt
h01,2,data_down\per_channel\sane\h01_w2_ch19.pt
h01,3,data_down\per_channel\sane\h01_w3_ch1.pt
